# 1.6S (Up to date)
# 748 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Acceleration to the East (m/s²),Acceleration to the North (m/s²),X body acceleration (m/s²),Y body acceleration (m/s²),Z body acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral direction (°),Lateral velocity (m/s),Roll rate (Z) (°/s),Pitch rate (Y) (°/s),Yaw rate (X) (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
11.589,953.52,9.881,10.326,-9.847,-0.173,1.15e-4,3.965,0.002,-9.015,55.697,0.015,89.985,2.999,-1.722e-5,17.245,1.254e-4,65.253,89.973
11.639,954.002,9.389,9.854,-9.843,-0.154,1.139e-4,4.118,0.002,-8.942,55.847,0.015,89.985,2.99,-1.723e-5,17.793,0.002,64.376,89.973
11.689,954.459,8.897,9.384,-9.828,-0.163,1.131e-4,4.244,0.002,-8.866,55.996,0.015,89.984,2.983,-1.723e-5,18.289,8.599e-4,63.474,89.972
11.739,954.892,8.407,8.917,-9.801,-0.198,1.126e-4,4.343,0.002,-8.788,56.145,0.015,89.984,2.974,-1.722e-5,18.932,-0.002,62.545,89.972
11.789,955.3,7.917,8.454,-9.777,-0.225,1.108e-4,4.456,0.002,-8.705,56.293,0.015,89.984,2.963,-1.722e-5,19.779,-0.003,61.578,89.972
11.839,955.683,7.429,7.994,-9.767,-0.22,1.065e-4,4.608,0.002,-8.614,56.441,0.016,89.984,2.952,-1.722e-5,20.7,-0.002,60.566,89.972
11.889,956.043,6.941,7.538,-9.757,-0.215,1.013e-4,4.765,0.003,-8.517,56.589,0.016,89.984,2.941,-1.722e-5,21.572,-0.002,59.509,89.972
11.939,956.377,6.453,7.087,-9.726,-0.253,9.757e-5,4.88,0.003,-8.417,56.735,0.016,89.984,2.929,-1.721e-5,22.517,-0.003,58.407,89.972
11.989,956.688,5.968,6.642,-9.707,-0.266,9.175e-5,5.027,0.003,-8.308,56.881,0.016,89.984,2.916,-1.722e-5,23.642,-0.003,57.254,89.972
12.039,956.974,5.483,6.204,-9.697,-0.259,8.419e-5,5.202,0.003,-8.188,57.027,0.016,89.984,2.903,-1.722e-5,24.76,-0.002,56.043,89.971
12.089,957.236,4.998,5.774,-9.675,-0.273,7.706e-5,5.357,0.003,-8.061,57.172,0.016,89.984,2.89,-1.722e-5,25.872,-0.002,54.778,89.971
12.139,957.474,4.515,5.353,-9.637,-0.31,7.047e-5,5.489,0.003,-7.927,57.316,0.016,89.984,2.876,-1.722e-5,27.125,-0.003,53.454,89.971
12.189,957.688,4.034,4.945,-9.614,-0.32,6.183e-5,5.658,0.003,-7.78,57.459,0.016,89.984,2.86,-1.721e-5,28.524,-0.002,52.063,89.971
12.239,957.877,3.554,4.551,-9.599,-0.316,5.191e-5,5.848,0.003,-7.619,57.602,0.017,89.984,2.844,-1.722e-5,29.91,-0.002,50.602,89.971
12.289,958.043,3.075,4.177,-9.564,-0.336,4.279e-5,6.012,0.003,-7.446,57.744,0.017,89.983,2.827,-1.721e-5,31.312,-0.002,49.072,89.971
12.339,958.185,2.597,3.827,-9.525,-0.357,3.596e-5,6.176,0.003,-7.26,57.885,0.017,89.983,2.81,-1.721e-5,32.845,-0.002,47.468,89.971
12.389,958.303,2.121,3.507,-9.528,-0.327,3.137e-5,6.409,0.003,-7.057,58.025,0.017,89.983,2.793,-1.721e-5,34.27,-5.063e-4,45.789,89.971
12.439,958.397,1.645,3.228,-9.505,-0.326,2.979e-5,6.606,0.003,-6.842,58.164,0.017,89.983,2.777,-1.721e-5,35.461,-4.39e-4,44.045,89.971
12.489,958.467,1.171,2.998,-9.46,-0.345,2.808e-5,6.771,0.004,-6.615,58.302,0.017,89.983,2.76,-1.721e-5,36.595,-0.001,42.244,89.971
12.539,958.514,0.699,2.831,-9.445,-0.331,1.976e-5,6.98,0.004,-6.372,58.44,0.017,89.983,2.743,-1.721e-5,37.671,3.832e-6,40.387,89.971
12.589,958.537,0.228,2.736,-9.388,-0.352,1.336e-5,7.131,0.004,-6.117,58.577,0.017,89.983,2.726,-1.721e-5,38.657,-3.89e-4,38.479,89.971
# Event APOGEE occurred at t=12.639 seconds
12.639,958.537,-0.241,2.719,-9.357,-0.347,1.538e-6,7.313,0.004,-5.847,58.713,0.018,89.983,2.708,-1.721e-5,39.671,5.03e-4,36.52,89.971
12.689,958.513,-0.707,2.782,-9.294,-0.364,-9.427e-6,7.452,0.004,-5.565,58.848,0.018,89.983,2.691,-1.721e-5,40.653,5.126e-4,34.512,89.971
12.739,958.466,-1.173,2.92,-9.558,-0.166,9.388e-5,7.976,0.004,-5.269,58.982,0.018,89.983,2.674,-1.721e-5,41.544,8.979e-4,32.453,89.971
12.789,958.396,-1.65,3.135,-9.526,-0.171,9.147e-5,8.132,0.004,-4.964,59.115,0.018,89.983,2.666,-1.721e-5,41.627,6.915e-4,30.374,89.971
12.839,958.301,-2.126,3.403,-9.492,-0.175,8.789e-5,8.275,0.004,-4.652,59.248,0.018,89.983,2.657,-1.721e-5,41.765,7.437e-4,28.29,89.971
12.889,958.183,-2.6,3.711,-9.461,-0.174,8.276e-5,8.413,0.004,-4.332,59.381,0.018,89.982,2.648,-1.721e-5,41.939,0.001,26.197,89.971
12.939,958.041,-3.072,4.05,-9.424,-0.174,7.651e-5,8.532,0.004,-4.006,59.513,0.018,89.982,2.64,-1.721e-5,42.148,0.002,24.095,89.971
12.989,957.876,-3.542,4.412,-9.366,-0.18,7.057e-5,8.618,0.004,-3.673,59.645,0.018,89.982,2.631,-1.721e-5,42.437,0.002,21.981,89.971
13.039,957.687,-4.008,4.789,-9.292,-0.189,6.588e-5,8.676,0.005,-3.332,59.776,0.019,89.982,2.622,-1.721e-5,42.872,0.001,19.849,89.971
13.089,957.475,-4.471,5.178,-9.201,-0.197,6.35e-5,8.706,0.005,-2.984,59.907,0.019,89.982,2.612,-1.721e-5,43.499,9.447e-4,17.691,89.971
13.139,957.24,-4.929,5.573,-9.121,-0.194,5.866e-5,8.738,0.005,-2.624,60.037,0.019,89.982,2.602,-1.721e-5,44.317,0.001,15.496,89.971
13.189,956.982,-5.383,5.974,-9.04,-0.185,5.285e-5,8.756,0.005,-2.253,60.167,0.019,89.982,2.593,-1.72e-5,45.276,0.002,13.257,89.971
13.239,956.702,-5.832,6.379,-8.941,-0.173,5.029e-5,8.745,0.005,-1.871,60.297,0.019,89.982,2.584,-1.72e-5,46.4,0.002,10.965,89.971
13.289,956.399,-6.277,6.784,-8.833,-0.154,4.983e-5,8.711,0.005,-1.475,60.425,0.019,89.982,2.575,-1.721e-5,47.727,0.002,8.613,89.971
13.339,956.075,-6.715,7.19,-8.705,-0.128,5.702e-5,8.64,0.004,-1.066,60.554,0.019,89.982,2.568,-1.722e-5,49.288,0.002,6.189,89.971
13.389,955.728,-7.147,7.592,-8.546,-0.094,7.992e-5,8.523,0.004,-0.642,60.682,0.019,89.982,2.563,-1.721e-5,51.165,0.001,3.679,89.971
13.439,955.36,-7.57,7.991,-8.38,-0.045,1.138e-4,8.378,0.004,-0.201,60.81,0.02,89.982,2.559,-1.725e-5,53.431,8.536e-4,1.066,89.971
13.489,954.971,-7.985,8.385,-8.243,0.023,1.398e-4,8.239,0.004,0.263,60.938,0.02,89.981,2.559,-1.726e-5,56.038,9.616e-4,-1.67,89.971
13.539,954.562,-8.394,8.776,-8.099,0.107,1.791e-4,8.065,0.004,0.748,61.066,0.02,89.981,2.562,-1.727e-5,58.916,0.001,-4.542,89.971
13.589,954.132,-8.795,9.163,-7.95,0.208,2.379e-4,7.853,0.004,1.253,61.195,0.02,89.981,2.57,-1.727e-5,62.131,6.876e-4,-7.567,89.97
13.637,953.698,-9.176,9.532,-7.819,0.324,3.074e-4,7.624,0.004,1.763,61.319,0.02,89.981,2.582,-1.725e-5,65.578,2.307e-4,-10.649,89.97
13.683,953.27,-9.531,9.879,-7.729,0.446,3.642e-4,7.402,0.004,2.268,61.437,0.02,89.981,2.6,-1.717e-5,69.109,4.422e-4,-13.729,89.97
13.727,952.849,-9.865,10.208,-7.659,0.574,4.271e-4,7.166,0.004,2.764,61.551,0.02,89.981,2.622,-1.718e-5,72.621,4.452e-4,-16.805,89.97
13.768,952.435,-10.18,10.519,-7.615,0.702,4.905e-4,6.923,0.004,3.249,61.66,0.02,89.981,2.648,-1.721e-5,76.135,6.404e-4,-19.877,89.97
13.807,952.029,-10.445,10.787,-6.596,1.253,7.388e-4,5.583,0.003,3.728,61.765,0.021,89.981,2.692,-1.718e-5,81.524,8.451e-4,-22.976,89.97
13.835,951.734,-10.631,10.975,-6.715,1.336,7.971e-4,5.5,0.003,4.078,61.84,0.021,89.981,2.728,-1.716e-5,85.441,6.714e-4,-25.306,89.97
13.864,951.422,-10.828,11.177,-6.852,1.417,8.418e-4,5.397,0.003,4.454,61.92,0.021,89.981,2.769,-1.718e-5,89.347,6.887e-4,-27.851,89.97
13.895,951.088,-11.04,11.393,-7.006,1.494,8.71e-4,5.266,0.003,4.857,62.006,0.021,89.981,2.813,-1.722e-5,93.237,0.001,-30.644,89.97
13.927,950.729,-11.269,11.627,-7.196,1.55,9.058e-4,5.126,0.003,5.282,62.097,0.021,89.981,2.862,-1.723e-5,97.096,0.001,-33.707,89.97
13.958,950.377,-11.494,11.857,-7.392,1.582,9.315e-4,4.975,0.003,5.691,62.186,0.021,89.981,2.911,-1.72e-5,100.589,0.001,-36.761,89.97
13.988,950.031,-11.717,12.085,-7.587,1.595,9.465e-4,4.807,0.002,6.083,62.274,0.021,89.981,2.958,-1.721e-5,103.78,0.001,-39.809,89.97
14.017,949.689,-11.94,12.312,-7.78,1.589,9.556e-4,4.623,0.002,6.456,62.36,0.021,89.981,3.004,-1.722e-5,106.725,0.001,-42.852,89.97
14.045,949.35,-12.161,12.537,-7.967,1.569,9.604e-4,4.418,0.002,6.813,62.445,0.021,89.981,3.048,-1.722e-5,109.481,8.938e-4,-45.891,89.97
14.072,949.014,-12.382,12.762,-8.206,1.471,9.149e-4,4.282,0.002,7.152,62.529,0.021,89.981,3.091,-1.724e-5,111.997,0.001,-48.927,89.969
14.099,948.679,-12.605,12.988,-8.485,1.286,8.243e-4,4.217,0.002,7.474,62.612,0.021,89.98,3.128,-1.724e-5,113.597,0.001,-51.95,89.969
14.125,948.344,-12.833,13.216,-8.756,1.064,7.281e-4,4.156,0.002,7.78,62.695,0.021,89.98,3.159,-1.724e-5,114.276,0.001,-54.961,89.969
14.152,948.004,-13.066,13.449,-8.998,0.83,6.231e-4,4.07,0.002,8.067,62.779,0.021,89.98,3.184,-1.724e-5,114.078,6.173e-4,-57.96,89.969
14.178,947.657,-13.306,13.686,-9.194,0.61,5.082e-4,3.931,0.002,8.333,62.863,0.022,89.98,3.203,-1.724e-5,113.098,0.002,-60.949,89.969
14.205,947.301,-13.552,13.928,-9.359,0.381,3.895e-4,3.772,0.002,8.574,62.948,0.022,89.98,3.216,-1.725e-5,111.404,0.004,-63.928,89.968
14.231,946.932,-13.806,14.177,-9.495,0.138,2.686e-4,3.599,0.002,8.788,63.035,0.022,89.98,3.223,-1.725e-5,109.177,0.009,-66.897,89.968
14.259,946.549,-14.068,14.433,-9.591,-0.099,1.442e-4,3.391,0.002,8.972,63.123,0.022,89.98,3.223,-1.724e-5,-108.381,0.107,-69.883,89.968
14.287,946.156,-14.334,14.691,-9.653,-0.343,8.192e-7,3.173,0.002,9.124,63.212,0.022,89.98,3.217,-1.723e-5,-106.318,0.017,-72.863,89.967
14.315,945.748,-14.607,14.955,-9.697,-0.646,-1.651e-4,3.005,0.002,9.242,63.303,0.022,89.98,3.203,-1.724e-5,-101.665,0.01,-75.8,89.966
14.337,945.421,-14.823,15.161,-9.713,-0.92,-3.074e-4,2.918,0.001,9.31,63.374,0.022,89.98,3.186,-1.72e-5,-97.442,0.008,-78.01,89.965
14.357,945.124,-15.017,15.347,-9.713,-1.183,-4.419e-4,2.866,0.001,9.356,63.437,0.022,89.98,3.165,-1.722e-5,-93.26,0.006,-79.913,89.964
14.375,944.848,-15.194,15.515,-9.702,-1.439,-5.691e-4,2.844,0.001,9.386,63.495,0.022,89.98,3.141,-1.723e-5,-89.098,0.005,-81.58,89.962
14.392,944.589,-15.358,15.671,-9.681,-1.679,-6.884e-4,2.838,0.001,9.406,63.548,0.022,89.98,3.115,-1.723e-5,-84.962,0.004,-83.051,89.96
14.408,944.345,-15.511,15.815,-9.653,-1.904,-7.999e-4,2.843,0.001,9.419,63.597,0.022,89.98,3.087,-1.725e-5,-80.844,0.004,-84.364,89.958
14.423,944.112,-15.655,15.951,-9.62,-2.115,-9.039e-4,2.856,0.001,9.426,63.643,0.022,89.98,3.056,-1.726e-5,-76.743,0.003,-85.542,89.954
14.437,943.888,-15.792,16.079,-9.584,-2.311,-0.001,2.874,0.001,9.43,63.686,0.022,89.98,3.025,-1.725e-5,-72.653,0.003,-86.606,89.948
14.451,943.672,-15.922,16.201,-9.545,-2.494,-0.001,2.896,0.001,9.431,63.727,0.022,89.98,2.992,-1.725e-5,-68.575,0.003,-87.569,89.938
14.464,943.462,-16.047,16.317,-9.505,-2.659,-0.001,2.916,0.001,9.429,63.766,0.022,89.98,2.958,-1.726e-5,-64.508,0.003,-88.442,89.919
14.477,943.258,-16.167,16.43,-9.464,-2.812,-0.001,2.938,0.001,9.426,63.803,0.022,89.98,2.924,-1.727e-5,-60.448,0.002,-89.235,89.863
14.489,943.058,-16.284,16.538,-9.424,-2.952,-0.001,2.96,0.001,9.422,63.839,0.022,89.98,2.888,-1.727e-5,-56.395,0.002,-89.956,88.062
14.501,942.861,-16.397,16.643,-9.384,-3.08,-0.001,2.98,0.002,9.417,63.874,0.023,89.98,2.852,-1.726e-5,-52.348,0.002,-89.39,270.111
14.513,942.668,-16.507,16.745,-9.346,-3.182,-0.001,2.986,0.002,9.411,63.907,0.023,89.98,2.815,-1.727e-5,-48.314,0.002,-88.799,270.043
14.524,942.477,-16.615,16.845,-9.31,-3.274,-0.001,2.99,0.001,9.405,63.939,0.023,89.98,2.778,-1.727e-5,-44.285,0.002,-88.264,270.022
14.536,942.287,-16.721,16.944,-9.275,-3.355,-0.002,2.993,0.001,9.398,63.971,0.023,89.98,2.74,-1.727e-5,-40.26,0.002,-87.782,270.011
14.547,942.098,-16.825,17.04,-9.243,-3.425,-0.002,2.994,0.001,9.391,64.001,0.023,89.98,2.702,-1.728e-5,-36.238,0.002,-87.352,270.005
14.558,941.91,-16.928,17.136,-9.211,-3.516,-0.002,3.025,0.002,9.384,64.031,0.023,89.98,2.663,-1.728e-5,-32.208,0.002,-86.97,270.002
14.569,941.724,-17.028,17.229,-9.181,-3.609,-0.002,3.064,0.002,9.377,64.06,0.023,89.98,2.624,-1.728e-5,-28.173,0.002,-86.64,269.999
14.58,941.54,-17.127,17.321,-9.154,-3.69,-0.002,3.101,0.002,9.37,64.088,0.023,89.98,2.585,-1.728e-5,-24.141,0.002,-86.358,269.997
14.59,941.358,-17.224,17.411,-9.13,-3.759,-0.002,3.134,0.002,9.363,64.115,0.023,89.98,2.545,-1.727e-5,-20.114,0.002,-86.123,269.996
14.601,941.177,-17.319,17.5,-9.109,-3.816,-0.002,3.16,0.002,9.357,64.142,0.023,89.98,2.506,-1.727e-5,-16.092,0.002,-85.934,269.995
14.611,940.997,-17.414,17.587,-9.094,-3.834,-0.002,3.156,0.002,9.351,64.168,0.023,89.98,2.466,-1.727e-5,-12.086,0.002,-85.788,269.995
14.622,940.817,-17.508,17.675,-9.083,-3.842,-0.002,3.147,0.002,9.346,64.193,0.023,89.98,2.426,-1.727e-5,-8.085,0.002,-85.684,269.994
14.632,940.636,-17.601,17.762,-9.075,-3.839,-0.002,3.135,0.002,9.341,64.218,0.023,89.98,2.387,-1.727e-5,-4.086,0.002,-85.621,269.994
14.642,940.454,-17.695,17.85,-9.07,-3.826,-0.002,3.119,0.002,9.337,64.242,0.023,89.98,2.347,-1.727e-5,-0.09,0.002,-85.599,269.995
14.653,940.27,-17.789,17.938,-9.069,-3.802,-0.002,3.098,0.002,9.333,64.266,0.023,89.98,2.308,-1.727e-5,3.901,0.002,-85.619,269.995
14.663,940.084,-17.883,18.027,-9.072,-3.765,-0.002,3.071,0.002,9.33,64.29,0.023,89.98,2.268,-1.726e-5,7.883,0.002,-85.68,269.996
14.673,939.896,-17.979,18.116,-9.079,-3.716,-0.002,3.039,0.002,9.327,64.314,0.023,89.98,2.229,-1.726e-5,11.857,0.002,-85.784,269.996
14.684,939.704,-18.076,18.208,-9.089,-3.656,-0.002,3.002,0.002,9.325,64.337,0.023,89.98,2.19,-1.726e-5,15.824,0.002,-85.932,269.998
14.695,939.507,-18.174,18.301,-9.102,-3.585,-0.002,2.961,0.001,9.323,64.361,0.023,89.979,2.15,-1.726e-5,19.782,0.002,-86.125,269.999
14.706,939.305,-18.275,18.397,-9.118,-3.507,-0.002,2.922,0.001,9.322,64.384,0.023,89.979,2.111,-1.727e-5,23.731,0.002,-86.366,270.001
14.717,939.097,-18.379,18.495,-9.138,-3.422,-0.002,2.883,0.001,9.322,64.408,0.023,89.979,2.072,-1.725e-5,27.675,0.002,-86.658,270.004
14.729,938.881,-18.486,18.597,-9.161,-3.322,-0.001,2.839,0.001,9.322,64.432,0.023,89.979,2.032,-1.725e-5,31.608,0.002,-87.005,270.008
14.741,938.656,-18.597,18.704,-9.187,-3.207,-0.001,2.789,0.001,9.323,64.457,0.023,89.979,1.993,-1.725e-5,35.526,0.003,-87.412,270.015
14.754,938.42,-18.714,18.815,-9.217,-3.069,-0.001,2.727,0.001,9.324,64.482,0.023,89.979,1.953,-1.722e-5,39.427,0.003,-87.887,270.025
14.767,938.17,-18.837,18.934,-9.251,-2.897,-0.001,2.644,0.001,9.327,64.507,0.023,89.979,1.913,-1.723e-5,43.296,0.003,-88.438,270.044
14.781,937.9,-18.969,19.061,-9.288,-2.701,-0.001,2.552,0.001,9.33,64.534,0.023,89.979,1.873,-1.722e-5,47.135,0.003,-89.084,270.097
14.797,937.604,-19.114,19.201,-9.327,-2.476,-0.001,2.451,0.001,9.333,64.563,0.023,89.979,1.833,-1.72e-5,50.935,0.003,-89.847,270.726
14.814,937.272,-19.275,19.358,-9.367,-2.21,-9.002e-4,2.335,0.001,9.337,64.594,0.023,89.979,1.792,-1.722e-5,54.673,0.003,-89.24,89.819
14.834,936.887,-19.462,19.541,-9.406,-1.893,-7.504e-4,2.202,0.001,9.339,64.63,0.023,89.979,1.751,-1.725e-5,58.312,0.003,-88.113,89.91
14.859,936.41,-19.691,19.766,-9.44,-1.498,-5.635e-4,2.047,9.421e-4,9.336,64.672,0.023,89.979,1.71,-1.73e-5,61.762,0.003,-86.651,89.937
14.892,935.744,-20.008,20.078,-9.453,-0.955,-3.07e-4,1.853,8.237e-4,9.319,64.728,0.024,89.979,1.669,-1.723e-5,64.718,0.005,-84.523,89.95
14.938,934.807,-20.446,20.512,-9.4,-0.261,2.844e-5,1.649,7.038e-4,9.258,64.805,0.024,89.979,1.641,-1.718e-5,65.475,0.019,-81.491,89.958
14.984,933.86,-20.874,20.938,-9.276,0.293,3.425e-4,1.556,6.979e-4,9.149,64.88,0.024,89.979,1.642,-1.716e-5,-63.131,0.017,-78.534,89.961
15.03,932.903,-21.29,21.356,-9.06,0.915,6.66e-4,1.338,6.113e-4,9.007,64.955,0.024,89.979,1.669,-1.732e-5,-57.662,0.008,-75.781,89.964
15.055,932.351,-21.522,21.589,-8.898,1.299,8.445e-4,1.15,5.119e-4,8.918,64.999,0.024,89.979,1.698,-1.727e-5,-53.158,0.006,-74.35,89.965
15.076,931.907,-21.703,21.772,-8.75,1.62,9.796e-4,0.962,3.993e-4,8.846,65.034,0.024,89.979,1.728,-1.729e-5,-48.821,0.005,-73.301,89.965
15.094,931.524,-21.856,21.927,-8.618,1.885,0.001,0.797,2.991e-4,8.786,65.064,0.024,89.979,1.758,-1.729e-5,-44.588,0.004,-72.477,89.966
15.109,931.177,-21.992,22.064,-8.509,2.088,0.001,0.673,2.312e-4,8.736,65.092,0.024,89.979,1.79,-1.725e-5,-40.421,0.004,-71.806,89.966
15.124,930.854,-22.116,22.19,-8.416,2.249,0.001,0.576,1.842e-4,8.692,65.119,0.024,89.979,1.822,-1.723e-5,-36.306,0.004,-71.243,89.966
15.138,930.547,-22.232,22.309,-8.332,2.388,0.001,0.49,1.423e-4,8.654,65.144,0.024,89.979,1.854,-1.723e-5,-32.213,0.004,-70.768,89.967
15.151,930.251,-22.342,22.421,-8.259,2.506,0.001,0.415,1.056e-4,8.621,65.169,0.024,89.979,1.886,-1.724e-5,-28.136,0.004,-70.368,89.967
15.164,929.965,-22.447,22.529,-8.195,2.605,0.001,0.35,7.491e-5,8.592,65.194,0.024,89.979,1.919,-1.722e-5,-24.074,0.004,-70.035,89.967
15.176,929.686,-22.548,22.632,-8.141,2.687,0.001,0.296,4.92e-5,8.568,65.218,0.024,89.979,1.952,-1.723e-5,-20.023,0.004,-69.761,89.967
15.188,929.413,-22.646,22.733,-8.096,2.752,0.001,0.251,2.848e-5,8.547,65.241,0.024,89.979,1.985,-1.724e-5,-15.984,0.003,-69.543,89.967
15.2,929.143,-22.742,22.831,-8.06,2.803,0.001,0.216,1.249e-5,8.53,65.265,0.024,89.979,2.018,-1.724e-5,-11.953,0.004,-69.377,89.968
15.212,928.877,-22.836,22.928,-8.029,2.848,0.002,0.18,-8.446e-6,8.517,65.289,0.024,89.979,2.051,-1.723e-5,-7.924,0.003,-69.261,89.968
15.224,928.613,-22.929,23.023,-8.007,2.878,0.002,0.154,-2.421e-5,8.507,65.313,0.024,89.979,2.084,-1.721e-5,-3.904,0.003,-69.193,89.968
15.235,928.35,-23.02,23.117,-7.994,2.893,0.002,0.138,-3.484e-5,8.501,65.337,0.024,89.979,2.117,-1.72e-5,0.108,0.003,-69.171,89.968
15.246,928.088,-23.111,23.211,-7.991,2.895,0.002,0.132,-4.026e-5,8.498,65.361,0.024,89.979,2.15,-1.72e-5,4.111,0.004,-69.195,89.968
15.258,927.824,-23.202,23.304,-7.997,2.879,0.001,0.139,-3.761e-5,8.498,65.386,0.024,89.979,2.183,-1.721e-5,8.102,0.004,-69.264,89.968
15.269,927.559,-23.293,23.399,-8.013,2.847,0.001,0.157,-2.829e-5,8.502,65.411,0.024,89.979,2.215,-1.722e-5,12.08,0.004,-69.38,89.968
15.281,927.289,-23.386,23.494,-8.038,2.8,0.001,0.185,-1.342e-5,8.509,65.437,0.024,89.979,2.248,-1.723e-5,16.045,0.004,-69.542,89.968
15.293,927.012,-23.481,23.592,-8.071,2.738,0.001,0.224,7.189e-6,8.52,65.463,0.025,89.979,2.281,-1.723e-5,19.997,0.004,-69.755,89.968
15.305,926.728,-23.579,23.692,-8.114,2.661,0.001,0.271,3.099e-5,8.535,65.491,0.025,89.979,2.313,-1.724e-5,23.935,0.004,-70.021,89.968
15.317,926.433,-23.681,23.797,-8.164,2.571,0.001,0.325,5.638e-5,8.553,65.52,0.025,89.979,2.346,-1.725e-5,27.859,0.004,-70.344,89.969
15.33,926.125,-23.787,23.906,-8.224,2.461,0.001,0.391,8.853e-5,8.575,65.551,0.025,89.978,2.379,-1.722e-5,31.762,0.004,-70.732,89.969
15.344,925.799,-23.9,24.021,-8.294,2.328,0.001,0.471,1.281e-4,8.601,65.584,0.025,89.978,2.411,-1.725e-5,35.641,0.004,-71.192,89.969
15.358,925.45,-24.021,24.145,-8.377,2.164,0.001,0.57,1.802e-4,8.633,65.619,0.025,89.978,2.444,-1.722e-5,39.486,0.005,-71.74,89.969
15.374,925.068,-24.155,24.281,-8.473,1.965,9.907e-4,0.69,2.457e-4,8.671,65.658,0.025,89.978,2.477,-1.727e-5,43.28,0.005,-72.396,89.969
15.392,924.64,-24.305,24.435,-8.584,1.723,8.681e-4,0.833,3.234e-4,8.715,65.702,0.025,89.978,2.51,-1.728e-5,47.004,0.006,-73.194,89.969
15.412,924.139,-24.483,24.615,-8.71,1.423,7.164e-4,1.003,4.154e-4,8.768,65.754,0.025,89.978,2.542,-1.727e-5,50.608,0.006,-74.198,89.969
15.438,923.508,-24.708,24.842,-8.857,1.028,5.179e-4,1.216,5.309e-4,8.833,65.819,0.025,89.978,2.573,-1.729e-5,53.967,0.008,-75.542,89.968
15.476,922.568,-25.047,25.181,-9.028,0.459,2.178e-4,1.484,6.601e-4,8.917,65.917,0.025,89.978,2.601,-1.734e-5,56.6,0.018,-77.64,89.968
15.526,921.304,-25.502,25.635,-9.171,-0.314,-1.804e-4,1.827,8.34e-4,8.992,66.048,0.025,89.978,2.606,-1.758e-5,-56.054,0.052,-80.476,89.967
15.576,920.018,-25.962,26.089,-9.219,-1.154,-6.024e-4,2.243,0.001,9.017,66.177,0.025,89.978,2.569,-1.76e-5,-50.751,0.01,-83.165,89.966
15.602,919.325,-26.207,26.329,-9.21,-1.581,-8.147e-4,2.464,0.001,9.014,66.245,0.025,89.978,2.532,-1.768e-5,-46.167,0.007,-84.454,89.964
15.623,918.782,-26.397,26.515,-9.188,-1.854,-9.632e-4,2.59,0.001,9.008,66.297,0.025,89.978,2.497,-1.761e-5,-41.894,0.007,-85.364,89.962
15.641,918.3,-26.564,26.678,-9.164,-2.071,-0.001,2.691,0.001,9.001,66.342,0.025,89.978,2.461,-1.752e-5,-37.707,0.006,-86.089,89.96
15.658,917.855,-26.717,26.826,-9.139,-2.271,-0.001,2.796,0.001,8.992,66.383,0.026,89.978,2.425,-1.751e-5,-33.564,0.006,-86.684,89.957
15.673,917.441,-26.858,26.964,-9.114,-2.46,-0.001,2.907,0.001,8.981,66.42,0.026,89.978,2.388,-1.745e-5,-29.425,0.005,-87.172,89.954
15.688,917.05,-26.99,27.092,-9.09,-2.614,-0.001,2.998,0.001,8.971,66.454,0.026,89.978,2.351,-1.749e-5,-25.32,0.005,-87.57,89.95
15.702,916.677,-27.115,27.214,-9.069,-2.739,-0.001,3.071,0.001,8.962,66.487,0.026,89.978,2.314,-1.75e-5,-21.24,0.004,-87.891,89.946
15.715,916.316,-27.236,27.331,-9.05,-2.838,-0.001,3.129,0.002,8.953,66.517,0.026,89.978,2.277,-1.745e-5,-17.179,0.004,-88.146,89.941
15.728,915.963,-27.352,27.444,-9.033,-2.911,-0.001,3.171,0.002,8.945,66.546,0.026,89.978,2.24,-1.747e-5,-13.134,0.004,-88.342,89.936
15.741,915.617,-27.466,27.555,-9.019,-2.96,-0.001,3.198,0.002,8.938,66.574,0.026,89.978,2.203,-1.75e-5,-9.104,0.004,-88.483,89.931
15.753,915.274,-27.579,27.664,-9.009,-2.986,-0.001,3.21,0.002,8.932,66.602,0.026,89.978,2.166,-1.75e-5,-5.088,0.003,-88.571,89.927
15.765,914.932,-27.69,27.772,-9.001,-2.991,-0.001,3.209,0.002,8.926,66.628,0.026,89.978,2.129,-1.75e-5,-1.083,0.003,-88.609,89.924
15.778,914.589,-27.801,27.88,-8.996,-2.974,-0.001,3.193,0.002,8.921,66.654,0.026,89.978,2.092,-1.751e-5,2.909,0.003,-88.598,89.922
15.79,914.243,-27.913,27.989,-8.994,-2.933,-0.001,3.162,0.002,8.916,66.68,0.026,89.978,2.055,-1.752e-5,6.883,0.003,-88.537,89.923
15.803,913.89,-28.026,28.099,-8.995,-2.868,-0.001,3.114,0.002,8.913,66.706,0.026,89.978,2.019,-1.75e-5,10.84,0.003,-88.425,89.925
15.816,913.528,-28.143,28.212,-8.999,-2.774,-0.001,3.046,0.002,8.91,66.732,0.026,89.978,1.982,-1.749e-5,14.772,0.003,-88.26,89.928
